Movie Title,Oscar Ceremony Year,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay)
Opera,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Oppenheimer,2024,Winner,Winner,,Nominated,,,,Winner,Winner,Nominated,Winner,,,,,Winner,,,,,,,Nominated,Winner,,Nominated,,,Nominated,,,,Nominated,
Our Curse,2015,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Our Uniform,2024,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outside the Law (Hors-la-loi),2011,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Over the Moon,2021,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pachyderme,2024,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain and Glory,2020,Nominated,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Paperman,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
Paradise Lost 3: Purgatory,2012,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Parallel Mothers,2022,,,Nominated,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
ParaNorman,2013,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasite,2020,,,,,,,,Winner,,,Winner,,,,,Nominated,,Winner,,,,,,,,Nominated,,,,,,,,Winner
Parvaneh,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Passengers,2017,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,
Past Lives,2024,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Pear Cider and Cigarettes,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Pearl,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Pentecost,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Perfect Days,2024,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Period. End of Sentence.,2019,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Phantom Thread,2018,Nominated,,,Nominated,,,,Nominated,,Winner,Nominated,,,,,,,,,,,,,Nominated,,,,,,,,,,
Philomena,2014,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,
Pieces of a Woman,2021,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pina,2012,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Pinocchio,2021,,,,,,,,,,Nominated,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Piper,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
Pitääkö mun kaikki hoitaa? (Do I Have to Take Care of Everything?),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Please Hold,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Poor Things,2024,,Nominated,Winner,,,,,Nominated,Nominated,Winner,Nominated,,,,,Nominated,,,,,,,Winner,Nominated,,Winner,,,,,,,Nominated,
Possessions,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Poster Girl,2011,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Precious: Based on the Novel 'Push' by Sapphire,2010,,,Nominated,Winner,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,Winner,
Presto,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Prison Terminal: The Last Days of Private Jack Hall,2014,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Prisoners,2014,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,
Prologue,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Prometheus,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Promising Young Woman,2021,,,Nominated,,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,Winner
Puss in Boots,2012,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puss in Boots: The Last Wish,2023,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quo Vadis, Aida?",2021,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Rabbit Hole,2011,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbit à la Berlin (Królik po berlinsku),2010,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Rachel Getting Married,2009,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Ralph Breaks the Internet,2019,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rango,2012,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raya and the Last Dragon,2022,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBG,2019,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Ready Player One,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Real Steel,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
"Red, White and Blue",2024,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,
Redemption,2013,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Restrepo,2011,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Revanche,2009,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Revolting Rhymes,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Revolutionary Road,2009,,Nominated,,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
Richard Jewell,2020,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise of the Planet of the Apes,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Robin Robin,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Robot Dreams,2024,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogue One: A Star Wars Story,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,Nominated,,
Roma,2019,,,Nominated,Nominated,,,,Nominated,Winner,,Winner,,,,,,Winner,,,,,,,,,Nominated,,,,Nominated,Nominated,,,Nominated
"Roman J. Israel, Esq.",2018,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room,2016,,,Winner,,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,Nominated,
Room on the Broom,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Rustin,2024,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,
Sanjay’s Super Team,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Saria,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Saving Face,2012,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Saving Mr. Banks,2014,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
Searching for Sugar Man,2013,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
Selma,2015,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,
Shang-Chi and the Legend of the Ten Rings,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Shaun the Sheep Movie,2016,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherlock Holmes,2010,,,,,,,Nominated,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
Shok,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Shoplifters,2019,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Sicario,2016,,,,,,,,,Nominated,,,,,,,,,,,,,,,Nominated,,,,,,Nominated,,,,
Silence,2017,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,
Silent Nights,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Silver Linings Playbook,2013,Nominated,Nominated,Winner,Nominated,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,Nominated,
Sing,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
Sister,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Skin,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
Skyfall,2013,,,,,,,,,Nominated,,,,,,,,,,,,,,,Nominated,,,,,,Winner,Nominated,,,
Slumdog Millionaire,2009,,,,,,,,Winner,Winner,,Winner,,,,,Winner,,,,,,,,Winner,,,,,,Nominated,Winner,,Winner,
Smile Pinki,2009,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Snow White and the Huntsman,2013,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Society of the Snow,2024,,,,,,,,,,,,,,,,,,Nominated,,,,,Nominated,,,,,,,,,,,
Solo: A Star Wars Story,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Son of Saul,2016,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,
Song of the Sea,2015,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul,2021,,,,,Winner,,,,,,,,,,,,,,,,,,,Winner,,,,,Nominated,,,,,
Sound of Metal,2021,Nominated,Nominated,,,,,,Nominated,,,,,,,,Winner,,,,,,,,,,,,,Winner,,,,,Nominated
Spencer,2022,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider-Man: Across the Spider-Verse,2024,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider-Man: Into the Spider-Verse,2019,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider-Man: No Way Home,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Spielzeugland (Toyland),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
Spotlight,2016,,Nominated,,Nominated,,,,Winner,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,Winner
St. Louis Superman,2020,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Star Trek,2010,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,Nominated,Nominated,Nominated,,
Star Trek Beyond,2017,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Star Trek Into Darkness,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Star Wars: The Force Awakens,2016,,,,,,,,,,,,,,,,Nominated,,,,,,,,Nominated,,,,,,Nominated,Nominated,Nominated,,
Star Wars: The Last Jedi,2018,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,Nominated,Nominated,Nominated,,
Star Wars: The Rise of Skywalker,2020,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,Nominated,,Nominated,,
Steve Jobs,2016,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Still Alice,2015,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight Outta Compton,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Stranger at the Gate,2023,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,
Strangers No More,2011,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Strong Island,2018,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Stutterer,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
Suicide Squad,2017,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,
Sully,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2022,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
Sun Come Up,2011,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Tangerines,2015,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Tanna,2017,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Tenet,2021,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,Winner,,
The 100-Year-Old Man Who Climbed out the Window and Disappeared,2016,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
The ABCs of Book Banning,2024,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,
The Act of Killing,2014,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Tintin,2012,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
The After,2024,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,
The Artist,2012,Winner,,,Nominated,,,Nominated,Winner,Nominated,Winner,Winner,,,,,Nominated,,,,,,,,Winner,,,,,,,,,,Nominated
The Baader Meinhof Complex,2009,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
The Ballad of Buster Scruggs,2019,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Nominated,
The Banshees of Inisherin,2023,Nominated,Nominated,,Nominated,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,Nominated
The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,2012,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
The Barber of Little Rock,2024,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,
The Batman,2023,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,Nominated,,,Nominated,,
The Betrayal (Nerakhoon),2009,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Big Short,2016,,Nominated,,,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,Winner,
The Big Sick,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
The Bigger Picture,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
The Blind Side,2010,,,Winner,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,
The Book Thief,2014,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
The Boss Baby,2018,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boxtrolls,2015,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boy and the Heron,2024,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Boy, the Mole, the Fox and the Horse",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
The Breadwinner,2018,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Broken Circle Breakdown,2014,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
The Cave,2020,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Class,2009,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
The Color Purple,2024,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Confession,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
The Conscience of Nhem En,2009,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
The Cove,2010,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
The Creator,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,Nominated,,
The Croods,2014,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crush,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
The Curious Case of Benjamin Button,2009,Nominated,,,Nominated,,,Winner,Nominated,Nominated,Nominated,Nominated,,,,,Nominated,,,,,,Winner,,Nominated,,,,,,,Nominated,Winner,Nominated,
The Dam Keeper,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
The Danish Girl,2016,Nominated,,,Winner,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,
The Dark Knight,2009,,Winner,,,,,Nominated,,Nominated,,,,,,,Nominated,,,,,,Nominated,,,,,,,,Winner,Nominated,Nominated,,
The Descendants,2012,Nominated,,,,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,Winner,
The Disaster Artist,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
The Door,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
The Dress,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
The Duchess,2009,,,,,,,Nominated,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,
The Edge of Democracy,2020,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Elephant Whisperers,2023,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,
The Eleven O'Clock,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
The Eternal Memory,2024,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,
The Eyes of Tammy Faye,2022,,,Winner,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,
The Fabelmans,2023,,Nominated,Nominated,,,,,Nominated,,,Nominated,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,Nominated
The Fantastic Flying Books of Mr. Morris Lessmore,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
The Father,2021,Winner,,,Nominated,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,Nominated,,,,,,,Winner,
The Favourite,2019,,,Winner,Nominated,,,,Nominated,Nominated,Nominated,Nominated,,,,,Nominated,,,,,,,,,,Nominated,,,,,,,,Nominated
The Fighter,2011,,Winner,,Nominated,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated
The Final Inch,2009,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
The Florida Project,2018,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flying Sailor,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
The Garden,2009,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Gatekeepers,2013,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Girl with the Dragon Tattoo,2012,,,Nominated,,,,,,Nominated,,,,,,,Winner,,,,,,,,,,,,,,Nominated,Nominated,,,
The Grand Budapest Hotel,2015,,,,,,,,Nominated,Nominated,Winner,Nominated,,,,,Nominated,,,,,,,Winner,Winner,,Winner,,,,,,,,Nominated
The Grandmaster,2014,,,,,,,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
The Great Beauty,2014,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,
The Great Gatsby,2014,,,,,,,,,,Winner,,,,,,,,,,,,,,,,Winner,,,,,,,,
The Gruffalo,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
The Hand of God,2022,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
The Hateful Eight,2016,,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,Winner,,,,,,,,,,
The Help,2012,,,Nominated,Nominated,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hobbit: An Unexpected Journey,2013,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,Nominated,,,,,,Nominated,,
The Hobbit: The Battle of the Five Armies,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,
The Hobbit: The Desolation of Smaug,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,Nominated,Nominated,,
The Holdovers,2024,Nominated,,,Winner,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated
The Hunt,2014,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
The Hurt Locker,2010,Nominated,,,,,,,Winner,Nominated,,Winner,,,,,Winner,,,,,,,,Nominated,,,,,,Winner,Winner,,,Winner
The Ides of March,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
The Illusionist,2011,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Imaginarium of Doctor Parnassus,2010,,,,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
The Imitation Game,2015,Nominated,,,Nominated,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,Nominated,,Nominated,,,,,,,Winner,
The Impossible,2013,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Insult,2018,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
The Invisible War,2013,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Invisible Woman,2014,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
The Irishman,2020,,Nominated,,,,,,Nominated,Nominated,Nominated,Nominated,,,,,Nominated,,,,,,,,,,Nominated,,,,,,Nominated,Nominated,
The Iron Lady,2012,,,Winner,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,
The Judge,2015,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jungle Book,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,
The Kids Are All Right,2011,,Nominated,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
The King's Speech,2011,Winner,Nominated,,Nominated,,,Nominated,Winner,Nominated,Nominated,Winner,,,,,Nominated,,,,,,,,Nominated,,,,,,,Nominated,,,Winner
The Lady and the Reaper (La Dama y la Muerte),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
The Lady in Number 6: Music Saved My Life,2014,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
The Last Campaign of Governor Booth Gardner,2010,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
The Last Repair Shop,2024,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,
The Last Station,2010,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Truck: Closing of a GM Plant,2010,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
The Letter Room,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
The Lighthouse,2020,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,
The Lion King,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
The Lobster,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
The Lone Ranger,2014,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,,
The Long Goodbye,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
The Look of Silence,2016,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Lost Daughter,2022,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
The Lost Thing,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
The Lovely Bones,2010,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man Who Sold His Skin,2021,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
The Martha Mitchell Effect,2023,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,
The Martian,2016,Nominated,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated,,,,Nominated,Nominated,Nominated,Nominated,
The Master,2013,Nominated,Nominated,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Messenger,2010,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
The Midnight Sky,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
The Milk of Sorrow,2010,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
The Missing Picture,2014,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
The Mitchells vs. the Machines,2022,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mole Agent,2021,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,2010,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
The Neighbors' Window,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
The New Tenants,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
The One and Only Ivan,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
The Phone Call,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
The Pig,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
The Pirates! Band of Misfits,2013,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Post,2018,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,
The Power of the Dog,2022,Nominated,Nominated,,Nominated,,,,Nominated,Nominated,,Winner,,,,,Nominated,,,,,,,,Nominated,,Nominated,,,Nominated,,,,Nominated,
The Present,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
The Princess and the Frog,2010,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Queen of Basketball,2022,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
The Quiet Girl,2023,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
The Reader,2009,,,Winner,,,,,Nominated,Nominated,,Nominated,,,,,,,,,,,,,,,,,,,,,,Nominated,
The Reaper (La Parka),2015,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
The Red Suitcase,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
