Movie Title,Oscar Ceremony Year,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay)
Avant Que De Tout Perdre (Just before Losing Everything),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Avatar,2010,,,,,,,Winner,Nominated,Winner,,Nominated,,,,,Nominated,,,,,,,,Nominated,,,,,,Nominated,Nominated,Winner,,
Avatar: The Way of Water,2023,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated,,,Nominated,,,Winner,,
Ave Maria,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Avengers: Endgame,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Avengers: Infinity War,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Aya,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Baby Driver,2018,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,Nominated,Nominated,,,
Babylon,2023,,,,,,,,,,Nominated,,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,
Bao,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
Barbie,2024,,Nominated,,Nominated,,,,Nominated,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,Nominated,
"Bardo, False Chronicle of a Handful of Truths",2023,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,
Barney's Version,2011,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,
Bear Story,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,
Beasts of the Southern Wild,2013,,,Nominated,,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,Nominated,
Beauty and the Beast,2018,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,
Before Midnight,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Beginners,2012,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Being the Ricardos,2022,Nominated,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfast,2022,,Nominated,,Nominated,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,Nominated,,,,,Winner
Bestia (Beast),2022,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Better Days,2021,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Big Hero 6,2015,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdman or (The Unexpected Virtue of Ignorance),2015,Nominated,Nominated,,Nominated,,,,Winner,Winner,,Winner,,,,,,,,,,,,,,,,,,,Nominated,Nominated,,,Winner
Biutiful,2011,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Black Panther,2019,,,,,,,,Nominated,,Winner,,,,,,,,,,,,,,Winner,,Winner,,,,Nominated,Nominated,,,
Black Panther: Wakanda Forever,2023,,,,Nominated,,,,,,Winner,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,,
Black Sheep,2019,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Black Swan,2011,,,Winner,,,,,Nominated,Nominated,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,
BlacKkKlansman,2019,,Nominated,,,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,Winner,
Blade Runner 2049,2018,,,,,,,,,Winner,,,,,,,,,,,,,,,,,Nominated,,,,Nominated,Nominated,Winner,,
Blind Vaysha,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Blonde,2023,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jasmine,2014,,,Winner,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Blue Valentine,2011,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobi Wine: The People's President,2024,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,
Body Team 12,2016,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Bohemian Rhapsody,2019,Winner,,,,,,,Nominated,,,,,,,,Winner,,,,,,,,,,,,,,Winner,Winner,,,
Bolt,2009,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombshell,2020,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,
Boogaloo and Graham,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2021,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Border,2019,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Borrowed Time,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Boxballet,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Boy and the World,2016,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyhood,2015,,Nominated,,Winner,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated
Brave,2013,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridesmaids,2012,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
Bridge of Spies,2016,,Winner,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,Nominated,,,,,Nominated,,,Nominated
Bright Star,2010,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,2016,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Brotherhood,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Bullhead,2012,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Burma VJ,2010,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Burrow,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
Butter Lamp (La Lampe Au Beurre De Yak),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Buzkashi Boys,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,
Call Me by Your Name,2018,Nominated,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Winner,
Can You Ever Forgive Me?,2019,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,
Capernaum,2019,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
Captain America: The Winter Soldier,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Captain Fantastic,2017,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Phillips,2014,,Nominated,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,Nominated,Nominated,,Nominated,
Carol,2016,,,Nominated,Nominated,,,,,Nominated,Nominated,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,
Cartel Land,2016,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Causeway,2023,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaveDigger,2014,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Changeling,2009,,,Nominated,,,,Nominated,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,
"Chau, beyond the Lines",2016,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Chico & Rita,2012,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China's Unnatural Disaster: The Tears of Sichuan Province,2010,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Christopher Robin,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,
Cinderella,2016,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
CitizenFour,2015,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
Claude Lanzmann: Spectres of the Shoah,2016,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
Close,2023,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Coco,2018,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coco before Chanel,2010,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
CODA,2022,,Winner,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,Winner,
Cold War,2019,,,,,,,,,Nominated,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,,
Colette,2021,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Collective,2021,,,,,,,,,,,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,
Coming 2 America,2022,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Coraline,2010,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpus Christi,2020,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,
Crazy Heart,2010,Winner,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed,2016,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crip Camp,2021,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Crisis Hotline: Veterans Press 1,2015,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
Cruella,2022,,,,,,,,,,Winner,,,,,,,,,,,,,Nominated,,,,,,,,,,,
Curfew,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,
Cutie and the Boxer,2014,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
Cyrano,2022,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,
Da 5 Bloods,2021,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,
Dallas Buyers Club,2014,Winner,Winner,,,,,,Nominated,,,,,,,,Nominated,,,,,,,Winner,,,,,,,,,,,Nominated
