Movie Title,Oscar Ceremony Year,Cast Involved,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay),Won_Oscars,Oscars_Won,Total_Oscars_Awarded,Percentage of Wins
All Is Lost,2014,Steve Boeddeker and Richard Hymns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,False,0,23,0.0
All Quiet on the Western Front,2023,"James Friend, Germany, Heike Merker and Linda Eisenhamerová, Volker Bertelmann, Malte Grunert, Producer, Production Design: Christian M. Goldbeck; Set Decoration: Ernestine Hipper, Viktor Prášil, Frank Kruse, Markus Stemler, Lars Ginzel and Stefan Korte, Frank Petzold, Viktor Müller, Markus Frank and Kamil Jafar, Screenplay - Edward Berger, Lesley Paterson & Ian Stokell",,,,,,,,Nominated,Winner,,,,,,,,,Winner,,,,,Nominated,Winner,,Winner,,,Nominated,,,Nominated,Nominated,,True,4,21,19.05
All That Breathes,2023,"Shaunak Sen, Aman Mann and Teddy Leifer",,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
All the Beauty and the Bloodshed,2023,"Laura Poitras, Howard Gertler, John Lyons, Nan Goldin and Yoni Golijov",,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
All the Money in the World,2018,Christopher Plummer,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Allied,2017,Joanna Johnston,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
American Factory,2020,"Steven Bognar, Julia Reichert and Jeff Reichert",,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,True,1,24,4.17
American Fiction,2024,"Jeffrey Wright, Sterling K. Brown, Laura Karpman, Ben LeClair, Nikos Karamigios, Cord Jefferson and Jermaine Johnson, Producers, Written for the screen by Cord Jefferson",Nominated,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,,Winner,,True,1,22,4.55
American Hustle,2014,"Christian Bale, Bradley Cooper, Amy Adams, Jennifer Lawrence, Michael Wilkinson, David O. Russell, Jay Cassidy, Crispin Struthers and Alan Baumgarten, Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers, Production Design: Judy Becker; Set Decoration: Heather Loeffler, Written by Eric Warren Singer and David O. Russell",Nominated,Nominated,Nominated,Nominated,,,,Nominated,,Nominated,Nominated,,,,,Nominated,,,,,,,,,,Nominated,,,,,,,,Nominated,False,0,23,0.0
American Sniper,2015,"Bradley Cooper, Joel Cox and Gary D. Roach, Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers, Alan Robert Murray and Bub Asman, John Reitz, Gregg Rudloff and Walt Martin, Written by Jason Hall",Nominated,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,Winner,Nominated,,Nominated,,True,1,23,4.35
Amour,2013,"Emmanuelle Riva, Michael Haneke, Austria, Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers, Written by Michael Haneke",,,Nominated,,,,,Nominated,,,Nominated,,,,,,Winner,,,,,,,,,,,,,,,,,Nominated,True,1,22,4.55
Amy,2016,Asif Kapadia and James Gay-Rees,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,True,1,23,4.35
An Education,2010,"Carey Mulligan, Finola Dwyer and Amanda Posey, Producers, Screenplay by Nick Hornby",,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,23,0.0
An Irish Goodbye,2023,Tom Berkeley and Ross White,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,True,1,21,4.76
An Ostrich Told Me the World Is Fake and I Think I Believe It,2023,Lachlan Pendragon,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,21,0.0
Anatomy of a Fall,2024,"Sandra Hüller, Justine Triet, Laurent Sénéchal, Marie-Ange Luciani and David Thion, Producers, Screenplay - Justine Triet and Arthur Harari",,,Nominated,,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,Winner,True,1,22,4.55
Animal Behaviour,2019,Alison Snowden and David Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
Animal Kingdom,2011,Jacki Weaver,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Anna Karenina,2013,"Seamus McGarvey, Jacqueline Durran, Dario Marianelli, Production Design: Sarah Greenwood; Set Decoration: Katie Spencer",,,,,,,,,Nominated,Winner,,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,,True,1,22,4.55
Anomalisa,2016,"Charlie Kaufman, Duke Johnson and Rosa Tran",,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Anonymous,2012,Lisy Christl,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Another Round,2021,"Thomas Vinterberg, Denmark",,,,,,,,,,,Nominated,,,,,,,Winner,,,,,,,,,,,,,,,,,True,1,21,4.76
Another Year,2011,Written by Mike Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,22,0.0
Aquel No Era Yo (That Wasn't Me),2014,Esteban Crespo,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
"Argentina, 1985",2023,Argentina,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,False,0,21,0.0
Argo,2013,"Alan Arkin, William Goldenberg, Alexandre Desplat, Grant Heslov, Ben Affleck and George Clooney, Producers, Erik Aadahl and Ethan Van der Ryn, John Reitz, Gregg Rudloff and Jose Antonio Garcia, Screenplay by Chris Terrio",,Nominated,,,,,,Winner,,,,,,,,Winner,,,,,,,,Nominated,,,,,,Nominated,Nominated,,Winner,,True,3,22,13.64
Arrival,2017,"Bradford Young, Denis Villeneuve, Joe Walker, Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers, Production Design: Patrice Vermette; Set Decoration: Paul Hotte, Sylvain Bellemare, Bernard Gariépy Strobl and Claude La Haye, Screenplay by Eric Heisserer",,,,,,,,Nominated,Nominated,,Nominated,,,,,Nominated,,,,,,,,,,Nominated,,,,Winner,Nominated,,Nominated,,True,1,23,4.35
Asad,2013,Bryan Buckley and Mino Jarjoura,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,22,0.0
Ascension,2022,"Jessica Kingdon, Kira Simon-Kennedy and Nathan Truesdell",,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
At Eternity's Gate,2019,Willem Dafoe,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Attica,2022,Stanley Nelson and Traci A. Curry,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Audible,2022,Matt Ogens and Geoff McLean,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Auf der Strecke (On the Line),2009,Reto Caffi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
August: Osage County,2014,"Meryl Streep, Julia Roberts",,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Australia,2009,Catherine Martin,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Avant Que De Tout Perdre (Just before Losing Everything),2014,Xavier Legrand and Alexandre Gavras,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Avatar,2010,"Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair, Mauro Fiore, James Cameron, Stephen Rivkin, John Refoua and James Cameron, James Horner, James Cameron and Jon Landau, Producers, Christopher Boyes and Gwendolyn Yates Whittle, Christopher Boyes, Gary Summers, Andy Nelson and Tony Johnson, Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones",,,,,,,Winner,Nominated,Winner,,Nominated,,,,,Nominated,,,,,,,,Nominated,,,,,,Nominated,Nominated,Winner,,,True,3,23,13.04
Avatar: The Way of Water,2023,"James Cameron and Jon Landau, Producers, Production Design: Dylan Cole and Ben Procter; Set Decoration: Vanessa Cole, Julian Howarth, Gwendolyn Yates Whittle, Dick Bernstein, Christopher Boyes, Gary Summers and Michael Hedges, Joe Letteri, Richard Baneham, Eric Saindon and Daniel Barrett",,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated,,,Nominated,,,Winner,,,True,1,21,4.76
Ave Maria,2016,Basil Khalil and Eric Dupont,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Avengers: Endgame,2020,"Dan DeLeeuw, Russell Earl, Matt Aitken and Dan Sudick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,24,0.0
Avengers: Infinity War,2019,"Dan DeLeeuw, Kelly Port, Russell Earl and Dan Sudick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,23,0.0
Aya,2015,Oded Binnun and Mihal Brezis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Baby Driver,2018,"Paul Machliss and Jonathan Amos, Julian Slater, Julian Slater, Tim Cavagin and Mary H. Ellis",,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,Nominated,Nominated,,,,False,0,22,0.0
Babylon,2023,"Mary Zophres, Justin Hurwitz, Production Design: Florencia Martin; Set Decoration: Anthony Carlino",,,,,,,,,,Nominated,,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,,False,0,21,0.0
Bao,2019,Domee Shi and Becky Neiman-Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,True,1,23,4.35
Barbie,2024,"Ryan Gosling, America Ferrera, Jacqueline Durran, David Heyman, Margot Robbie, Tom Ackerley and Robbie Brenner, Producers, Production Design: Sarah Greenwood; Set Decoration: Katie Spencer, Written by Greta Gerwig & Noah Baumbach",,Nominated,,Nominated,,,,Nominated,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,Nominated,,False,0,22,0.0
"Bardo, False Chronicle of a Handful of Truths",2023,Darius Khondji,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
Barney's Version,2011,Adrien Morot,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,False,0,22,0.0
Bear Story,2016,Gabriel Osorio and Pato Escala,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,True,1,23,4.35
Beasts of the Southern Wild,2013,"Quvenzhané Wallis, Benh Zeitlin, Dan Janvey, Josh Penn and Michael Gottwald, Producers, Screenplay by Lucy Alibar & Benh Zeitlin",,,Nominated,,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,22,0.0
Beauty and the Beast,2018,"Jacqueline Durran, Production Design: Sarah Greenwood; Set Decoration: Katie Spencer",,,,,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,,False,0,22,0.0
Before Midnight,2014,"Written by Richard Linklater, Julie Delpy, Ethan Hawke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,23,0.0
Beginners,2012,Christopher Plummer,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,22,4.55
Being the Ricardos,2022,"Javier Bardem, J.K. Simmons, Nicole Kidman",Nominated,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Belfast,2022,"Ciarán Hinds, Judi Dench, Kenneth Branagh, Laura Berwick, Kenneth Branagh, Becca Kovacik and Tamar Thomas, Producers, Denise Yarde, Simon Chase, James Mather and Niv Adiri, Written by Kenneth Branagh",,Nominated,,Nominated,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,Nominated,,,,,Winner,True,1,22,4.55
Bestia (Beast),2022,Hugo Covarrubias and Tevo Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Better Days,2021,Hong Kong,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,False,0,21,0.0
Big Hero 6,2015,"Don Hall, Chris Williams and Roy Conli",,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,23,4.35
Birdman or (The Unexpected Virtue of Ignorance),2015,"Michael Keaton, Edward Norton, Emma Stone, Emmanuel Lubezki, Alejandro G. Iñárritu, Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers, Martín Hernández and Aaron Glascock, Jon Taylor, Frank A. Montaño and Thomas Varga, Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo",Nominated,Nominated,,Nominated,,,,Winner,Winner,,Winner,,,,,,,,,,,,,,,,,,,Nominated,Nominated,,,Winner,True,4,23,17.39
Biutiful,2011,"Javier Bardem, Mexico",Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,22,0.0
Black Panther,2019,"Ruth Carter, Ludwig Goransson, Kevin Feige, Producer, Production Design: Hannah Beachler; Set Decoration: Jay Hart, Benjamin A. Burtt and Steve Boeddeker, Steve Boeddeker, Brandon Proctor and Peter Devlin",,,,,,,,Nominated,,Winner,,,,,,,,,,,,,,Winner,,Winner,,,,Nominated,Nominated,,,,True,3,23,13.04
Black Panther: Wakanda Forever,2023,"Angela Bassett, Ruth Carter, Camille Friend and Joel Harlow, Geoffrey Baumann, Craig Hammack, R. Christopher White and Dan Sudick",,,,Nominated,,,,,,Winner,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,,,True,1,21,4.76
Black Sheep,2019,Ed Perkins and Jonathan Chinn,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Black Swan,2011,"Natalie Portman, Matthew Libatique, Darren Aronofsky, Andrew Weisblum, Mike Medavoy, Brian Oliver and Scott Franklin, Producers",,,Winner,,,,,Nominated,Nominated,,Nominated,,,,,Nominated,,,,,,,,,,,,,,,,,,,True,1,22,4.55
BlacKkKlansman,2019,"Adam Driver, Spike Lee, Barry Alexander Brown, Terence Blanchard, Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers, Written by Charlie Wachtel & David Rabinowitz and Kevin Willmott & Spike Lee",,Nominated,,,,,,Nominated,,,Nominated,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,Winner,,True,1,23,4.35
Blade Runner 2049,2018,"Roger A. Deakins, Production Design: Dennis Gassner; Set Decoration: Alessandra Querzola, Mark Mangini and Theo Green, Ron Bartlett, Doug Hemphill and Mac Ruth, John Nelson, Gerd Nefzer, Paul Lambert and Richard R. Hoover",,,,,,,,,Winner,,,,,,,,,,,,,,,,,Nominated,,,,Nominated,Nominated,Winner,,,True,2,22,9.09
Blind Vaysha,2017,Theodore Ushev,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
Blonde,2023,Ana de Armas,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
Blue Jasmine,2014,"Cate Blanchett, Sally Hawkins, Written by Woody Allen",,,Winner,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,True,1,23,4.35
Blue Valentine,2011,Michelle Williams,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
