Movie Title,Oscar Ceremony Year,Cast Involved,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay),Won_Oscars,Oscars_Won,Total_Oscars_Awarded,Percentage of Wins
Get Out,2018,"Daniel Kaluuya, Jordan Peele, Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers, Written by Jordan Peele",Nominated,,,,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Winner,True,1,22,4.55
Glass Onion: A Knives Out Mystery,2023,Written by Rian Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,21,0.0
God Is the Bigger Elvis,2012,Rebecca Cammisa and Julie Anderson,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
God of Love,2011,Luke Matheny,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,True,1,22,4.55
Godzilla Minus One,2024,"Takashi Yamazaki, Kiyoko Shibuya, Masaki Takahashi and Tatsuji Nojima",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,True,1,22,4.55
Golda,2024,"Karen Hartley Thomas, Suzi Battersby and Ashra Kelly-Blue",,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,False,0,22,0.0
Gone Girl,2015,Rosamund Pike,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Granny O'Grimm's Sleeping Beauty,2010,Nicky Phelan and Darragh O'Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
Gravity,2014,"Sandra Bullock, Emmanuel Lubezki, Alfonso Cuarón, Alfonso Cuarón and Mark Sanger, Steven Price, Alfonso Cuarón and David Heyman, Producers, Production Design: Andy Nicholson; Set Decoration: Rosie Goodwin and Joanne Woollard, Glenn Freemantle, Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro, Tim Webber, Chris Lawrence, David Shirk and Neil Corbould",,,Nominated,,,,,Nominated,Winner,,Winner,,,,,Winner,,,,,,,,Winner,,Nominated,,,,Winner,Winner,Winner,,,True,7,23,30.43
Green Book,2019,"Viggo Mortensen, Mahershala Ali, Patrick J. Don Vito, Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers, Written by Nick Vallelonga, Brian Currie, Peter Farrelly",Nominated,Winner,,,,,,Winner,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Winner,True,3,23,13.04
Greyhound,2021,"Warren Shaw, Michael Minkler, Beau Borders and David Wyman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,False,0,21,0.0
Guardians of the Galaxy,2015,"Elizabeth Yianni-Georgiou and David White, Stephane Ceretti, Nicolas Aithadi, Jonathan Fawkner and Paul Corbould",,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,,,False,0,23,0.0
Guardians of the Galaxy Vol. 2,2018,"Christopher Townsend, Guy Williams, Jonathan Fawkner and Dan Sudick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,22,0.0
Guardians of the Galaxy Vol. 3,2024,"Stephane Ceretti, Alexis Wajsbrot, Guy Williams and Theo Bialek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,22,0.0
Guillermo del Toro's Pinocchio,2023,"Guillermo del Toro, Mark Gustafson, Gary Ungar and Alex Bulkley",,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,21,4.76
Hacksaw Ridge,2017,"Andrew Garfield, Mel Gibson, John Gilbert, Bill Mechanic and David Permut, Producers, Robert Mackenzie and Andy Wright, Kevin O’Connell, Andy Wright, Robert Mackenzie and Peter Grace",Nominated,,,,,,,Nominated,,,Nominated,,,,,Winner,,,,,,,,,,,,,,Nominated,Winner,,,,True,2,23,8.7
"Hail, Caesar!",2017,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,False,0,23,0.0
Hair Love,2020,Matthew A. Cherry and Karen Rupert Toliver,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,True,1,24,4.17
"Hale County This Morning, This Evening",2019,"RaMell Ross, Joslyn Barnes and Su Kim",,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Happy-Go-Lucky,2009,Written by Mike Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,23,0.0
Harriet,2020,Cynthia Erivo,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,24,0.0
Harry Potter and the Deathly Hallows Part 1,2011,"Production Design: Stuart Craig; Set Decoration: Stephenie McMillan, Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi",,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,22,0.0
Harry Potter and the Deathly Hallows Part 2,2012,"Production Design: Stuart Craig; Set Decoration: Stephenie McMillan, Nick Dudman, Amanda Knight and Lisa Tomblin, Tim Burke, David Vickery, Greg Butler and John Richardson",,,,,,,Nominated,,,,,,,,,,,,,,,Nominated,,,,,,,,,,Nominated,,,False,0,22,0.0
Harry Potter and the Half-Blood Prince,2010,Bruno Delbonnel,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Haulout,2023,Evgenia Arbugaeva and Maxim Arbugaev,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
Head over Heels,2013,Timothy Reckart and Fodhla Cronin O'Reilly,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Heaven Is a Traffic Jam on the 405,2018,Frank Stiefel,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,True,1,22,4.55
Helium,2014,Anders Walter and Kim Magnusson,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,True,1,23,4.35
Hell and Back Again,2012,Danfung Dennis and Mike Lerner,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Hell or High Water,2017,"Jeff Bridges, Jake Roberts, Carla Hacken and Julie Yorn, Producers, Written by Taylor Sheridan",,Nominated,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated,False,0,23,0.0
Hellboy II: The Golden Army,2009,Mike Elizalde and Thom Floutz,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,False,0,23,0.0
Henry,2013,Yan England,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,22,0.0
Her,2014,"William Butler and Owen Pallett, Megan Ellison, Spike Jonze and Vincent Landay, Producers, Production Design: K.K. Barrett; Set Decoration: Gene Serdena, Written by Spike Jonze",,,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,Nominated,,,,,,,,Winner,True,1,23,4.35
Hereafter,2011,"Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,22,0.0
Heroin(e),2018,Elaine McMillion Sheldon and Kerrin Sheldon,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Hidden Figures,2017,"Octavia Spencer, Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers, Screenplay by Allison Schroeder and Theodore Melfi",,,,Nominated,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,23,0.0
Hillbilly Elegy,2021,"Glenn Close, Eryn Krueger Mekash, Matthew Mungle and Patricia Dehaney",,,,Nominated,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,False,0,21,0.0
Hitchcock,2013,"Howard Berger, Peter Montagna and Martin Samuel",,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,False,0,22,0.0
Honeyland,2020,"Ljubo Stefanov, Tamara Kotevska and Atanas Georgiev, North Macedonia",,,,,,,,,,,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,,False,0,24,0.0
House of Gucci,2022,"Göran Lundström, Anna Carin Lock and Frederic Aspiras",,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,False,0,22,0.0
How Do You Measure a Year?,2023,Jay Rosenblatt,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
How to Survive a Plague,2013,David France and Howard Gertler,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
How to Train Your Dragon,2011,"Chris Sanders and Dean DeBlois, John Powell",,,,,Nominated,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,False,0,22,0.0
How to Train Your Dragon 2,2015,Dean DeBlois and Bonnie Arnold,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
How to Train Your Dragon: The Hidden World,2020,"Dean DeBlois, Bradford Lewis and Bonnie Arnold",,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,24,0.0
Hugo,2012,"Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo, Robert Richardson, Sandy Powell, Martin Scorsese, Thelma Schoonmaker, Howard Shore, Graham King and Martin Scorsese, Producers, Philip Stockton and Eugene Gearty, Tom Fleischman and John Midgley, Rob Legato, Joss Williams, Ben Grossmann and Alex Henning, Screenplay by John Logan",,,,,,,Winner,Nominated,Winner,Nominated,Nominated,,,,,Nominated,,,,,,,,Nominated,,,,,,Winner,Winner,Winner,Nominated,,True,5,22,22.73
Hungary,2018,On Body and Soul,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,22,0.0
Hunger Ward,2021,Skye Fitzgerald and Michael Scheuerman,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
I Am Love,2011,Antonella Cannarozzi,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
I Am Not Your Negro,2017,"Raoul Peck, Rémi Grellety and Hébert Peck",,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
I Lost My Body,2020,Jérémy Clapin and Marc du Pontavice,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,24,0.0
"I, Tonya",2018,"Margot Robbie, Allison Janney, Tatiana S. Riegel",,,Nominated,Winner,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,True,1,22,4.55
Icarus,2018,Bryan Fogel and Dan Cogan,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,True,1,22,4.55
Ice Merchants,2023,João Gonzalez and Bruno Caetano,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,21,0.0
Ida,2015,"Łukasz Żal and Ryszard Lenczewski, Poland",,,,,,,,,Nominated,,,,,,,,Winner,,,,,,,,,,,,,,,,,,True,1,23,4.35
If a Tree Falls: A Story of the Earth Liberation Front,2012,Marshall Curry and Sam Cullman,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
If Anything Happens I Love You,2021,Will McCormack and Michael Govier,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,True,1,21,4.76
If Beale Street Could Talk,2019,"Regina King, Nicholas Britell, Written for the screen by Barry Jenkins",,,,Winner,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,Nominated,,True,1,23,4.35
Il Divo,2010,Aldo Signoretti and Vittorio Sodano,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,False,0,23,0.0
In a Better World,2011,Denmark,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,True,1,22,4.55
In Bruges,2009,Written by Martin McDonagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,23,0.0
In Darkness,2012,Poland,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,22,0.0
In the Absence,2020,Yi Seung-Jun and Gary Byung-Seok Kam,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,24,0.0
In the Loop,2010,"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,23,0.0
Incendies,2011,Canada,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,22,0.0
Inception,2011,"Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat, Wally Pfister, Hans Zimmer, Emma Thomas and Christopher Nolan, Producers, Richard King, Lora Hirschberg, Gary A. Rizzo and Ed Novick, Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb, Written by Christopher Nolan",,,,,,,Nominated,Nominated,Winner,,,,,,,,,,,,,,,Nominated,,,,,,Winner,Winner,Winner,,Nominated,True,4,22,18.18
Incident in New Baghdad,2012,James Spione,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Incredibles 2,2019,"Brad Bird, John Walker and Nicole Paradis Grindle",,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Indiana Jones and the Dial of Destiny,2024,John Williams,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,False,0,22,0.0
Inglourious Basterds,2010,"Christoph Waltz, Robert Richardson, Quentin Tarantino, Sally Menke, Lawrence Bender, Producer, Wylie Stateman, Michael Minkler, Tony Lamberti and Mark Ulano, Written by Quentin Tarantino",,Winner,,,,,,Nominated,Nominated,,Nominated,,,,,Nominated,,,,,,,,,,,,,,Nominated,Nominated,,,Nominated,True,1,23,4.35
Inherent Vice,2015,"Mark Bridges, Written for the screen by Paul Thomas Anderson",,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Nominated,,False,0,23,0.0
Inocente,2013,Sean Fine and Andrea Nix Fine,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,True,1,22,4.55
Inside Job,2011,Charles Ferguson and Audrey Marrs,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,True,1,22,4.55
Inside Llewyn Davis,2014,"Bruno Delbonnel, Skip Lievsay, Greg Orloff and Peter F. Kurland",,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,False,0,23,0.0
Inside Out,2016,"Pete Docter and Jonas Rivera, Screenplay by Pete Docter, Meg LeFauve, Josh Cooley; Original story by Pete Docter, Ronnie del Carmen",,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,True,1,23,4.35
Instead of Abracadabra,2010,Patrik Eklund and Mathias Fjellström,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Interstellar,2015,"Hans Zimmer, Production Design: Nathan Crowley; Set Decoration: Gary Fettis, Richard King, Gary A. Rizzo, Gregg Landaker and Mark Weingarten, Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher",,,,,,,,,,,,,,,,,,,,,,,,Nominated,,Nominated,,,,Nominated,Nominated,Winner,,,True,1,23,4.35
Into the Woods,2015,"Meryl Streep, Colleen Atwood, Production Design: Dennis Gassner; Set Decoration: Anna Pinnock",,,,Nominated,,,,,,Nominated,,,,,,,,,,,,,,,,Nominated,,,,,,,,,False,0,23,0.0
Invictus,2010,"Morgan Freeman, Matt Damon",Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Invincible,2024,Vincent René-Lortie and Samuel Caron,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,False,0,22,0.0
Io Capitano,2024,Italy,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,False,0,22,0.0
Iron Man,2009,"Frank Eulner and Christopher Boyes, John Nelson, Ben Snow, Dan Sudick and Shane Mahan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,Nominated,,,False,0,23,0.0
Iron Man 2,2011,"Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,22,0.0
Iron Man 3,2014,"Christopher Townsend, Guy Williams, Erik Nash and Dan Sudick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,23,0.0
Island in Between,2024,S. Leo Chiang and Jean Tsien,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Isle of Dogs,2019,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Alexandre Desplat",,,,,Nominated,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,False,0,23,0.0
Ivalu,2023,Anders Walter and Rebecca Pruzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,21,0.0
Jackass Presents: Bad Grandpa,2014,Stephen Prouty,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,False,0,23,0.0
Jackie,2017,"Natalie Portman, Madeline Fontaine, Mica Levi",,,Nominated,,,,,,,Nominated,,,,,,,,,,,,,,Nominated,,,,,,,,,,,False,0,23,0.0
Jane Eyre,2012,Michael O'Connor,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Japan,2019,Shoplifters,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,23,0.0
Joanna,2015,Aneta Kopacz,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Joe's Violin,2017,Kahane Cooperman and Raphaela Neihausen,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Jojo Rabbit,2020,"Scarlett Johansson, Mayes C. Rubeo, Tom Eagles, Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers, Production Design: Ra Vincent; Set Decoration: Nora Sopková, Screenplay by Taika Waititi",,,,Nominated,,,,Nominated,,Nominated,,,,,,Nominated,,,,,,,,,,Nominated,,,,,,,Winner,,True,1,24,4.17
Joker,2020,"Joaquin Phoenix, Lawrence Sher, Mark Bridges, Todd Phillips, Jeff Groth, Nicki Ledermann and Kay Georgiou, Hildur Guðnadóttir, Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers, Alan Robert Murray, Tom Ozanich, Dean Zupancic and Tod Maitland, Written by Todd Phillips & Scott Silver",Winner,,,,,,,Nominated,Nominated,Nominated,Nominated,,,,,Nominated,,,,,,,Nominated,Winner,,,,,,Nominated,Nominated,,Nominated,,True,2,24,8.33
Joy,2016,Jennifer Lawrence,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Judas and the Black Messiah,2021,"Daniel Kaluuya, Lakeith Stanfield, Sean Bobbitt, Shaka King, Charles D. King and Ryan Coogler, Producers, Screenplay by Will Berson & Shaka King; Story by Will Berson & Shaka King and Kenny Lucas & Keith Lucas",,Nominated,,,,,,Nominated,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,21,0.0
Judy,2020,"Renée Zellweger, Jeremy Woodhead",,,Winner,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,True,1,24,4.17
Julie & Julia,2010,Meryl Streep,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Karama Has No Walls,2014,Sara Ishaq,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Kavi,2010,Gregg Helvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
Killers of the Flower Moon,2024,"Robert De Niro, Lily Gladstone, Rodrigo Prieto, Jacqueline West, Martin Scorsese, Thelma Schoonmaker, Robbie Robertson, Dan Friedkin, Bradley Thomas, Martin Scorsese and Daniel Lupi, Producers, Production Design: Jack Fisk; Set Decoration: Adam Willis",,Nominated,Nominated,,,,,Nominated,Nominated,Nominated,Nominated,,,,,Nominated,,,,,,,,Nominated,,Nominated,,,,,,,,,False,0,22,0.0
Killing in the Name,2011,Jed Rothstein,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
King Richard,2022,"Will Smith, Aunjanue Ellis, Pamela Martin, Tim White, Trevor White and Will Smith, Producers, Written by Zach Baylin",Winner,,,Nominated,,,,Nominated,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,Nominated,True,1,22,4.55
Kings Point,2013,Sari Gilman and Jedd Wider,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Kitbull,2020,Rosana Sullivan and Kathryn Hendrickson,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,24,0.0
Klaus,2020,"Sergio Pablos, Jinko Gotoh and Marisa Román",,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,24,0.0
Knife Skills,2018,Thomas Lennon,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Knight of Fortune,2024,Lasse Lyskjær Noer and Christian Norlyk,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,False,0,22,0.0
Knives Out,2020,Written by Rian Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,24,0.0
Kon-Tiki,2013,Norway,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,22,0.0
Kong: Skull Island,2018,"Stephen Rosenbaum, Jeff White, Scott Benza and Mike Meinardus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,22,0.0
Kubo and the Two Strings,2017,"Travis Knight and Arianne Sutner, Steve Emerson, Oliver Jones, Brian McLean and Brad Schiff",,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,False,0,23,0.0
Kung Fu Panda,2009,John Stevenson and Mark Osborne,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Kung Fu Panda 2,2012,Jennifer Yuh Nelson,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
La Femme et le TGV,2017,Timo von Gunten and Giacun Caduff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,23,0.0
La La Land,2017,"Ryan Gosling, Emma Stone, Linus Sandgren, Mary Zophres, Damien Chazelle, Tom Cross, Justin Hurwitz, Fred Berger, Jordan Horowitz and Marc Platt, Producers, Production Design: David Wasco; Set Decoration: Sandy Reynolds-Wasco, Ai-Ling Lee and Mildred Iatrou Morgan, Andy Nelson, Ai-Ling Lee and Steve A. Morrow, Written by Damien Chazelle",Nominated,,Winner,,,,,Nominated,Winner,Nominated,Winner,,,,,Nominated,,,,,,,,Winner,,Winner,,,,Nominated,Nominated,,,Nominated,True,5,23,21.74
La Luna,2012,Enrico Casarosa,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
La Maison en Petits Cubes (The House of Small Cubes),2009,Kunio Kato,,,,,,,,,,,,,,,,,,,,,,,,,,,Winner,,,,,,,,True,1,23,4.35
Lady Bird,2018,"Saoirse Ronan, Laurie Metcalf, Greta Gerwig, Scott Rudin, Eli Bush and Evelyn O'Neill, Producers, Written by Greta Gerwig",,,Nominated,Nominated,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,22,0.0
Land of Mine,2017,Denmark,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,23,0.0
Last Day of Freedom,2016,Dee Hibbert-Jones and Nomi Talisman,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Last Days in Vietnam,2015,Rory Kennedy and Keven McAlester,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
Last Men in Aleppo,2018,"Feras Fayyad, Kareem Abeed and Søren Steen Jespersen",,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Late Afternoon,2019,Louise Bagnall and Nuria González Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
Lavatory - Lovestory (Ubornaya istoriya - lyubovnaya istoriya),2009,Konstantin Bronzit,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
Le Pupille,2023,Alice Rohrwacher and Alfonso Cuarón,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,False,0,21,0.0
Lead Me Home,2022,Pedro Kos and Jon Shenk,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Learning to Skateboard in a Warzone (If You're a Girl),2020,Carol Dysinger and Elena Andreicheva,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,True,1,24,4.17
Lebanon,2019,"The Insult, Capernaum",,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,23,0.0
Les Misérables,2013,"Paco Delgado, Lisa Westcott and Julie Dartnell, Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers, Production Design: Eve Stewart; Set Decoration: Anna Lynch-Robinson, Andy Nelson, Mark Paterson and Simon Hayes",,,,,,,,Nominated,,Nominated,,,,,,,,,,,,,Winner,,,Nominated,,,,,Winner,,,,True,2,22,9.09
Les Misérables,2020,"Hugh Jackman, Anne Hathaway, France",Nominated,,,Winner,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,True,1,24,4.17
Let's Pollute,2011,Geefwee Boedoe,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
Letter to a Pig,2024,Tal Kantor and Amit R. Gicelter,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
Leviathan,2015,Russia,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,False,0,23,0.0
Licorice Pizza,2022,"Paul Thomas Anderson, Sara Murphy, Adam Somner and Paul Thomas Anderson, Producers, Written by Paul Thomas Anderson",,,,,,,,Nominated,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,22,0.0
