Movie Title,Release Year
Kung Fu Panda 2,2012
La Femme et le TGV,2017
La La Land,2017
La Luna,2012
La Maison en Petits Cubes,2009
Lady Bird,2018
Land of Mine,2017
Last Day of Freedom,2016
Last Days in Vietnam,2015
Last Men in Aleppo,2018
Late Afternoon,2019
Lavatory - Lovestory,2009
Le Pupille,2023
Lead Me Home,2022
Learning to Skateboard in a Warzone (If You're a Girl),2020
Les Mis_rables,2013
Les Misérables,2020
Let's Pollute,2011
Letter to a Pig,2024
Leviathan,2015
Licorice Pizza,2022
Life of Pi,2013
Life Overtakes Me,2020
"Life, Animated",2017
Lifeboat,2019
Lincoln,2013
Lion,2017
Little Women,2020
Living,2023
Logan,2018
Logorama,2010
Lone Survivor,2014
Lou,2018
Love and Monsters,2021
Loveless,2018
Loving,2017
Loving Vincent,2018
Luca,2022
Lunana: A Yak in the Classroom,2022
Ma Rainey's Black Bottom,2021
Mad Max: Fury Road,2016
"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",2011
Maestro,2024
"Maggie Simpson in ""The Longest Daycare""",2013
Maleficent,2015
Maleficent: Mistress of Evil,2020
Man on Wire,2009
Manchester by the Sea,2017
Mank,2021
Manon on the Asphalt,2009
Marcel the Shell with Shoes On,2023
Margin Call,2012
Marguerite,2019
Marriage Story,2020
Marvel's The Avengers,2013
Mary Poppins Returns,2019
Mary Queen of Scots,2019
May December,2024
Me and My Moulton,2015
Memorable,2020
Midnight in Paris,2012
Milk,2009
Minari,2021
Minding the Gap,2019
Miracle Fish,2010
Mirai,2019
Mirror Mirror,2013
Missing Link,2020
Mission: Impossible - Dead Reckoning Part One,2024
Moana,2017
Molly's Game,2018
Mondays at Racine,2013
Moneyball,2012
Monsieur Lazhar,2012
Moonlight,2017
Moonrise Kingdom,2013
Mother,2019
Mr. Hublot,2014
Mr. Turner,2015
Mrs. Harris Goes to Paris,2023
Mudbound,2018
Mulan,2021
Music by Prudence,2010
Mustang,2016
My Life as a Zucchini,2017
My Nephew Emmett,2018
My Octopus Teacher,2021
My Week with Marilyn,2012
My Year of Dicks,2023
Na Wewe,2011
Napoleon,2024
Navalny,2023
Nebraska,2014
Nefta Football Club,2020
Negative Space,2018
Never Look Away,2019
New Boy,2009
News of the World,2021
Night Ride,2023
Nightcrawler,2015
Nightmare Alley,2022
Nimona,2024
Nine,2010
Ninety-Five Senses,2024
No,2013
No Time to Die,2022
Nocturnal Animals,2017
Nomadland,2021
Nyad,2024
Nǎi Nai & Wài Pó,2024
O.J.: Made in America,2017
Of Fathers and Sons,2019
Oktapodi,2009
Omar,2014
On Body and Soul,2018
On My Mind,2022
Once upon a Time...in Hollywood,2020
One Night in Miami...,2021
One Small Step,2019
Onward,2021
Open Heart,2013
Opera,2021
Oppenheimer,2024
Our Curse,2015
Our Uniform,2024
Outside the Law (Hors-la-loi),2011
Over the Moon,2021
Pachyderme,2024
Pain and Glory,2020
Paperman,2013
Paradise Lost 3: Purgatory,2012
Parallel Mothers,2022
ParaNorman,2013
Parasite,2020
Parvaneh,2015
Passengers,2017
Past Lives,2024
Pear Cider and Cigarettes,2017
Pearl,2017
Pentecost,2012
Perfect Days,2024
Period. End of Sentence.,2019
Phantom Thread,2018
Philomena,2014
Pieces of a Woman,2021
Pina,2012
Pinocchio,2021
Piper,2017
Pit__k_ Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),2014
Please Hold,2022
Poor Things,2024
Possessions,2014
Poster Girl,2011
Precious: Based on the Novel 'Push' by Sapphire,2010
Presto,2009
Prison Terminal: The Last Days of Private Jack Hall,2014
Prisoners,2014
Prologue,2016
Prometheus,2013
Promising Young Woman,2021
Puss in Boots,2012
Puss in Boots: The Last Wish,2023
"Quo Vadis, Aida?",2021
Rabbit Hole,2011
Rabbit à la Berlin,2010
Rachel Getting Married,2009
Raju,2012
Ralph Breaks the Internet,2019
Rango,2012
Raya and the Last Dragon,2022
RBG,2019
Ready Player One,2019
Real Steel,2012
"Red, White and Blue",2024
Redemption,2013
Restrepo,2011
Revanche,2009
Revolting Rhymes,2018
Revolutionary Road,2009
Richard Jewell,2020
Rise of the Planet of the Apes,2012
Robin Robin,2022
Robot Dreams,2024
Rogue One: A Star Wars Story,2017
Roma,2019
"Roman J. Israel, Esq.",2018
Room,2016
Room on the Broom,2014
Rustin,2024
Salt,2011
Sanjay’s Super Team,2016
Saria,2020
Saving Face,2012
Saving Mr. Banks,2014
Searching for Sugar Man,2013
Selma,2015
Shang-Chi and the Legend of the Ten Rings,2022
Shaun the Sheep Movie,2016
Sherlock Holmes,2010
Shok,2016
Shoplifters,2019
Sicario,2016
Silence,2017
Silent Nights,2017
Silver Linings Playbook,2013
Sing,2017
Sister,2020
Skin,2019
Skyfall,2013
Slumdog Millionaire,2009
Smile Pinki,2009
Snow White and the Huntsman,2013
Society of the Snow,2024
Solo: A Star Wars Story,2019
Son of Saul,2016
Song of the Sea,2015
Soul,2021
Sound of Metal,2021
Spencer,2022
Spider-Man: Across the Spider-Verse,2024
Spider-Man: Into the Spider-Verse,2019
Spider-Man: No Way Home,2022
Spielzeugland (Toyland),2009
Spotlight,2016
St. Louis Superman,2020
Star Trek,2010
Star Trek Beyond,2017
Star Trek Into Darkness,2014
Star Wars: The Force Awakens,2016
Star Wars: The Last Jedi,2018
Star Wars: The Rise of Skywalker,2020
Steve Jobs,2016
Still Alice,2015
Straight Outta Compton,2016
Stranger at the Gate,2023
Strangers No More,2011
Strong Island,2018
Stutterer,2016
Suicide Squad,2017
Sully,2017
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2022
Sun Come Up,2011
Tangerines,2015
Tanna,2017
Tenet,2021
The 100-Year-Old Man Who Climbed out the Window and Disappeared,2016
The ABCs of Book Banning,2024
The Act of Killing,2014
The Adventures of Tintin,2012
The After,2024
The Artist,2012
The Baader Meinhof Complex,2009
The Ballad of Buster Scruggs,2019
The Banshees of Inisherin,2023
The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,2012
The Barber of Little Rock,2024
The Batman,2023
The Betrayal (Nerakhoon),2009
The Big Short,2016
The Big Sick,2018
The Bigger Picture,2015
The Blind Side,2010
The Book Thief,2014
The Boss Baby,2018
The Boxtrolls,2015
The Boy and the Heron,2024
